Chromosome	Strand	Start	End	Dominant	Signal	Rank	rep 1	rep 2	rep 3
chr	+	3110438	3110449	3110444	0.9956374556213694	46		0.0	
chr	-	2058020	2058030	2058024	0.9955269550682905	47			
chr	-	2518032	2518044	2518038	0.9950220421375043	48		0.0	
chr	+	2059923	2059933	2059927	0.9949515433550972	49	0.0	0.0	
chr	-	1287529	1287541	1287534	0.9947564988332763	50		0.0	0.0
chr	+	2044621	2044632	2044625	0.9942053774595606	51	0.0	0.0	
chr	-	2043459	2043471	2043463	0.9941218346077855	52			
chr	+	225572	225586	225578	0.9934967890329248	53	0.0	0.0	0.0
chr	-	3322065	3322075	3322069	0.9928423486317705	54	0.0	0.0	0.0
chr	+	1746589	1746601	1746595	0.9927994384813207	55			
chr	+	2755952	2755961	2755955	0.9925588732164838	56			
chr	-	3426947	3426961	3426953	0.9924188582763659	57	0.0	0.0	0.0
chr	+	4392432	4392443	4392436	0.9921825636732171	58	0.0	0.0	0.0
chr	-	1622812	1622823	1622816	0.991869918699187	59	0.0	3.5534499534590835e-31	6.009154840574914e-17
chr	+	4037332	4037346	4037337	0.9911425677163527	60	0.0	0.0	0.0
chr	+	4392544	4392555	4392548	0.9907612821918019	61	0.0	0.0	0.0
chr	+	2062332	2062343	2062336	0.9898863899068857	62	0.0	0.0	0.0
chr	+	262943	262953	262949	0.9894423060250871	63			
chr	-	2729356	2729372	2729365	0.9892046449115496	64	0.0	0.0	0.0
chr	+	3836313	3836325	3836319	0.9885560526486415	65	5.6032029754087205e-260	0.0	
chr	-	4606064	4606082	4606074	0.9882584525915726	66	0.0	0.0	0.0
chr	+	3982689	3982708	3982692	0.9872244379084071	67	0.0	0.0	0.0
chr	+	3982838	3982848	3982843	0.9871794871794872	68	2.544493669982491e-10	1.5431024514305876e-12	
chr	+	2521003	2521016	2521009	0.9871342293934725	69	0.0	0.0	0.0
chr	-	696655	696667	696660	0.9870317935487894	70		0.0	0.0
chr	-	2998976	2998987	2998979	0.9869736061195103	71	0.0		0.0
chr	+	781219	781232	781225	0.9868773617630765	72	0.0	0.0	0.0
chr	-	696423	696433	696427	0.9866154053630879	73	0.0	0.0	0.0
chr	+	3211072	3211081	3211077	0.9855531051936701	74		5.119465293964195e-146	7.104281624761596e-170
chr	+	4168444	4168457	4168449	0.9854168771102545	75	0.0	0.0	0.0
chr	+	781441	781454	781447	0.9853269823115802	76	0.0	0.0	0.0
chr	-	4606191	4606203	4606197	0.9841598155462384	77	0.0	0.0	0.0
chr	-	2001909	2001918	2001914	0.9841269841269842	78	0.0	4.321794767069672e-08	0.0
chr	-	2817775	2817787	2817781	0.9837463676876846	79	0.0	0.0	0.0
chr	+	4496524	4496533	4496527	0.9833333333333334	80	4.275800573808138e-12	1.2359407861128677e-48	7.938957922523218e-18
chr	-	2818050	2818062	2818055	0.9827444897175833	81	0.0	0.0	0.0
chr	+	4209846	4209860	4209852	0.9820368037686428	82	0.0	0.0	0.0
chr	+	963774	963783	963777	0.9819697994140185	83	0.0	3.2898507282988213e-21	1.733518643346771e-39
chr	+	3943507	3943520	3943513	0.9818478073977145	84	0.0	0.0	0.0
chr	-	2518148	2518159	2518153	0.9810200541825761	85	0.0	0.0	0.0
chr	+	2521123	2521136	2521128	0.9806592339054494	86	0.0	0.0	0.0
chr	+	237004	237017	237010	0.9802717185705063	87	0.0	0.0	2.740560250751679e-262
chr	+	780915	780927	780921	0.9789849305470552	88	0.0	0.0	0.0
chr	-	2818183	2818201	2818193	0.9789112375551867	89	0.0	0.0	0.0
chr	+	781141	781151	781144	0.9782999363161352	90	0.0	0.0	0.0
chr	+	4175460	4175476	4175468	0.9777807840038145	91	0.0	0.0	0.0
chr	-	1991804	1991818	1991812	0.9776041937039835	92	0.0	0.0	0.0
chr	+	3982582	3982593	3982586	0.9771756000934508	93	0.0	0.0	0.0
chr	-	2734148	2734156	2734150	0.9770114942528735	94	0.0	0.0	2.2241673465081136e-20
chr	+	3946945	3946957	3946950	0.9768018460408694	95	0.0	0.0	0.0
chr	+	781649	781661	781654	0.9765365333206413	96	0.0	0.0	0.0
chr	+	4175826	4175840	4175832	0.9759949096433981	97	0.0	0.0	0.0
chr	+	1147705	1147714	1147709	0.9742363738265377	98	8.963475364657294e-22	1.0370275786088723e-25	3.0966116822602833e-83
chr	+	1151885	1151895	1151890	0.9741286040934694	99	2.227123908446868e-109		1.4782459634600416e-103
chr	+	3982808	3982816	3982811	0.9732581058567863	100	0.0	0.0	0.0
chr	-	4606300	4606318	4606312	0.9729351445262316	101	0.0	0.0	0.0
chr	-	696533	696545	696542	0.9728816840898911	102	0.0	0.0	0.0
chr	-	926154	926162	926155	0.9722222222222222	103	0.0005112699627645921	0.0	0.0
chr	-	1292452	1292461	1292457	0.9713450292397661	104	0.0	1.0631609320333655e-23	7.481044278283533e-28
chr	-	2818464	2818476	2818470	0.9708354662366872	105	0.0	0.0	0.0
chr	-	4449063	4449071	4449065	0.9696969696969697	106	0.0	0.0014771336917446694	0.0
chr	-	3318205	3318216	3318208	0.9695375754611035	107	0.0	1.8627176696923232e-238	0.0
chr	+	780626	780639	780631	0.9681875852797033	108	4.3133265869131495e-259	3.366245562077133e-261	0.0
chr	+	4496486	4496498	4496490	0.9680935554828373	109	0.0	0.0	0.0
chr	-	3270211	3270219	3270213	0.9671390549727494	110		0.0	0.0
chr	-	1031619	1031628	1031622	0.9666353816289827	111	0.0	0.0	7.985363420246957e-264
chr	-	1031578	1031587	1031581	0.9664566084831865	112	9.555248305331017e-15	2.0857660032155675e-53	1.3048198636091084e-36
chr	-	4362507	4362515	4362511	0.9657894736842105	113	4.321794767069672e-08	1.2126538550051377e-07	0.0
chr	+	3986635	3986643	3986639	0.9649122807017544	114	9.598865634183753e-14	1.9724474611890767e-10	0.0
chr	+	2521245	2521256	2521249	0.9644988072679156	115	0.0	0.0	0.0
chr	-	2818545	2818556	2818549	0.9641493694450457	116	0.0	0.0	0.0
chr	+	2947460	2947474	2947466	0.9625278628223798	117	8.034828116302613e-160	0.0	0.0
chr	+	2521325	2521336	2521329	0.9615963207946926	118	0.0	0.0	1.210354745556832e-280
chr	-	1991907	1991917	1991912	0.9615217472322891	119	0.0	0.0	0.0
chr	+	780837	780847	780840	0.9599733654627921	120	0.0	0.0	0.0
chr	+	237066	237076	237068	0.9584500466853408	121	3.6654125237700165e-36	1.898832364091454e-62	7.287667586899645e-14
chr	+	2947570	2947582	2947574	0.9579367121374092	122	1.340430491452539e-208	9.737400209196702e-293	0.0
chr	+	4037214	4037225	4037218	0.9533415655036036	123	0.0	1.8754333414675584e-297	0.0
chr	+	4035546	4035564	4035560	0.9505494505494506	124	0.00017789561894626608		1.3257389884231382e-09
chr	-	4362543	4362555	4362548	0.9495919082960711	125	5.52326463605601e-186	0.0	8.753405599791929e-163
chr	+	225454	225465	225458	0.9493137186699888	126	1.7531228552649076e-251	0.0	0.0
chr	-	2691188	2691196	2691189	0.9446778711484592	127	0.0		9.605186529209925e-07
chr	-	696749	696759	696753	0.9439556258585672	128	3.7826534578079394e-276	1.9506789929238038e-240	3.195137747244278e-282
chr	+	3982448	3982462	3982454	0.9431374338485736	129	4.9129655308053706e-217	1.4986936568220756e-221	1.1079970627629568e-238
chr	-	3427067	3427079	3427073	0.9428073577723407	130	2.593724686252606e-203	4.613709386993998e-301	0.0
chr	+	2521359	2521367	2521364	0.9423837032532685	131	0.0014771336917446694	3.127940569810333e-16	2.544493669982491e-10
chr	+	3947029	3947037	3947033	0.9394757349047479	132	4.093233315178406e-273	6.964516934731827e-170	1.5815251968422752e-300
chr	+	4118840	4118848	4118843	0.9371345029239766	133	0.0005112699627645921	0.0	4.356556132502508e-12
chr	-	697046	697060	697053	0.9317902302781592	134	1.5846543418746832e-167	1.0464748983294972e-247	2.093274300973639e-249
chr	+	4180992	4181002	4180996	0.9307077368770472	135			1.3934228604602735e-138
chr	+	3215670	3215678	3215673	0.9305768842973924	136	4.356556132502508e-12	4.880275194326157e-65	1.1046482074179308e-28
chr	+	3884538	3884547	3884540	0.9293319706738279	137	1.5149289257129094e-49		
chr	-	696855	696868	696860	0.9254985284931734	138	1.9226128912204104e-174	1.3901378249906834e-169	1.3238326354159873e-172
chr	-	696955	696966	696960	0.9220692354287409	139	2.011501142436619e-182	1.8559437230584164e-238	4.857103386858389e-157
chr	+	2947680	2947688	2947684	0.9162675557030578	140	6.194954834041133e-125	3.77326324118414e-160	6.237245629157372e-185
chr	+	4200602	4200610	4200603	0.9136293813713169	141	1.4237163188019753e-14	2.038260134220876e-30	6.217788033703208e-05
chr	-	2729578	2729586	2729582	0.9102167182662537	142		9.634215937516614e-64	5.50040780159402e-56
chr	-	3311364	3311373	3311368	0.9081845238095237	143			4.008919274399471e-74
chr	+	4175744	4175753	4175749	0.9039647737954036	144	1.6445075328721818e-131	5.372038350832661e-146	1.2958538380647109e-132
chr	+	4208163	4208182	4208177	0.9015151515151515	145			1.1949371488607151e-21
chr	+	1746508	1746520	1746512	0.8920096007523481	146	5.101786303408367e-116	9.42529171358842e-140	5.4830447842856806e-135
chr	-	3448254	3448264	3448258	0.8601581856298838	147		3.5499149864540526e-33	
chr	+	122937	122946	122940	0.858445945945946	148	7.681474588607901e-06		
chr	+	4168230	4168238	4168232	0.8510502679994206	149		1.6162708658391902e-46	
chr	+	4166678	4166694	4166689	0.8324074074074074	150	1.5706794575554355e-09		
chr	+	4177184	4177192	4177187	0.8285828754578755	151			1.0015751035708565e-38
chr	-	3428726	3428748	3428731	0.8236652236652237	152	2.611651754186492e-07	4.504007871783035e-13	3.9575215283454366e-05
chr	+	4040479	4040490	4040485	0.8069490895577851	153	2.0742990124270022e-20		
chr	+	223787	223804	223801	0.8051282051282053	154	0.005106093668135269	2.926132464555392e-14	7.681474588607901e-06
chr	-	3194716	3194723	3194721	0.7999999999999999	155	0.0	0.0	1.0
chr	+	4213003	4213013	4213009	0.7784900284900286	156			
chr	+	4209718	4209726	4209720	0.7553586485645513	157	1.2726672451525816e-18	1.1686229655094682e-46	
chr	+	3943379	3943387	3943382	0.7494849977608599	158		3.410575242329157e-52	1.709247333927399e-25
chr	-	2729186	2729195	2729189	0.7418988648090815	159	1.1161746894954873e-10		
chr	+	4210032	4210042	4210035	0.7316670257846729	160	1.9431880666456426e-21	1.2695091314498304e-32	3.1090804837537834e-35
chr	+	3946663	3946673	3946667	0.7316332218506131	161		1.9431880666456426e-21	
chr	-	2726215	2726229	2726219	0.7305194805194805	162			3.681439757063385e-07
chr	+	190797	190806	190799	0.7297258297258299	163			1.1142066595352331e-20
chr	+	228718	228728	228725	0.7272435897435897	164	1.704165713742013e-09		
chr	+	3943693	3943703	3943696	0.724948559670782	165	9.081494293878089e-28	1.9493719705962985e-39	1.5698425823965385e-23
chr	+	4171600	4171610	4171605	0.7233082706766917	166	1.704165713742013e-09		
chr	+	225748	225758	225752	0.7198464912280702	167	1.948245135116867e-11		6.2118894275908645e-34
chr	+	4037508	4037518	4037513	0.7140028280805976	168	8.054450944958789e-15	2.1082449984064852e-50	7.965751644634801e-32
chr	-	3427183	3427191	3427188	0.7106574371321562	169	8.155252081376699e-18	4.775118472335533e-28	5.312165927147466e-33
chr	+	4208028	4208037	4208030	0.7053258077354463	170	8.408886649845678e-24	8.040937229687298e-52	1.4024337035261532e-23
chr	+	4166540	4166549	4166542	0.6968507499043047	171	3.025027674518168e-24	1.210379314738517e-37	3.7943086321994423e-28
chr	+	4175860	4175873	4175866	0.6910919540229884	172	1.6614298815524462e-09		
chr	-	3426785	3426794	3426790	0.6843510176843509	173	4.970625675722753e-13	2.4056995512473953e-20	
chr	-	2818331	2818340	2818335	0.6805531270035554	174	1.7678227280509664e-22	3.694886509000075e-16	3.464199151721391e-30
chr	+	3941798	3941840	3941836	0.6792540792540792	175	0.0018739472656560934	0.037630662521485746	0.004962050655239923
chr	-	2731267	2731276	2731272	0.6754323083694901	176	1.5668818653996017e-16	4.1232114152097444e-48	1.4835060050971726e-23
chr	+	225342	225350	225343	0.6684879485390994	177	1.2010710016399347e-21	7.773651971234191e-19	7.666234653373689e-21
chr	+	92655	92663	92661	0.6666666666666666	178	1.0	0.0	0.0
chr	+	3328194	3328201	3328199	0.6666666666666666	179	1.0	0.0	0.0
chr	-	160093	160100	160093	0.6666666666666666	180	1.0	0.0	0.0
chr	-	185083	185090	185083	0.6666666666666666	181	0.0	1.0	0.0
chr	-	985835	985843	985835	0.6666666666666666	182	1.0	0.0	0.0
chr	-	3070117	3070124	3070117	0.6666666666666666	183	1.0	0.0	0.0
chr	-	3195091	3195099	3195092	0.6666666666666666	184	1.0	0.0	0.0
chr	-	3270175	3270183	3270175	0.6666666666666666	185	1.0	0.0	0.0
chr	-	3377751	3377761	3377752	0.6666666666666666	186	1.0	0.0	0.0
chr	-	3439571	3439579	3439571	0.6666666666666666	187	0.0	1.0	0.0
chr	-	4190317	4190325	4190318	0.6666666666666666	188	1.0	0.0	0.0
chr	+	3941689	3941698	3941691	0.6641611213072155	189	1.3749309495046738e-16	6.093744661403402e-38	5.536837412608531e-25
chr	+	4579909	4579916	4579914	0.6538461538461539	190	1.0	9.147089856617562e-11	0.0005112699627645921
chr	+	4035412	4035421	4035414	0.6524663660256881	191	2.2888784632107902e-21	4.0133115387885587e-32	6.625556357901798e-19
chr	+	191742	191749	191746	0.6428571428571429	192	1.0	0.0	6.217788033703208e-05
chr	+	17004	17012	17009	0.6388888888888888	193	1.0	0.0005112699627645921	0.0
chr	+	229040	229047	229042	0.6333333333333333	194	1.0	0.0	0.0
chr	-	2731121	2731168	2731122	0.6111111111111112	195	0.0009077435113358557	0.008967323852099179	0.7027194246706475
chr	+	2062369	2062376	2062372	0.6095238095238096	196	1.0	6.217788033703208e-05	0.004294314103258293
chr	+	4168630	4168660	4168653	0.6031746031746031	197	1.013936030310053e-07	8.944487121730036e-16	7.666234653373689e-21
chr	-	3423814	3423825	3423820	0.6009615384615384	198		2.2488326237395824e-19	1.992949660438102e-05
chr	+	4037102	4037110	4037103	0.600192107790892	199	3.5425893703975516e-18	3.821881566976424e-16	3.140053325254468e-09
chr	+	427786	427794	427792	0.6	200	1.0	1.7899826046856652e-05	0.0014771336917446694
chr	+	4168481	4168493	4168485	0.5994172226056285	201	4.962816438676842e-20	1.3170224136585723e-13	7.344899008290263e-10
chr	+	4168631	4168639	4168632	0.5948891904115784	202	1.013936030310053e-07	8.944487121730036e-16	7.666234653373689e-21
chr	-	3332800	3332810	3332803	0.5935672514619883	203	5.972926518154165e-08	3.127940569810333e-16	1.0
chr	+	4210047	4210056	4210051	0.5833333333333334	204			1.0
chr	+	3943706	3943724	3943720	0.5818181818181818	205		0.0014771336917446694	0.00017979098145502309
chr	+	223652	223661	223654	0.5764899285250163	206	8.841142291558779e-10	2.7020236951779184e-27	1.1264507972413497e-11
chr	+	4376298	4376306	4376303	0.5572755417956656	207	1.0		1.9724474611890767e-10
chr	-	3428872	3428881	3428877	0.5550389852910862	208	1.2608252866244078e-09	2.6242555862128147e-20	9.284533154142931e-12
chr	-	1287354	1287363	1287358	0.5506578947368421	209			
chr	+	2153746	2153754	2153749	0.5499999999999999	210	1.0	4.321794767069672e-08	6.980461316037707e-05
chr	+	780728	780740	780732	0.5324074074074074	211	2.0940644901870874e-07	8.054450944958789e-15	8.756748565890504e-09
chr	-	2729324	2729337	2729329	0.5316239316239316	212			7.799542149750469e-05
chr	+	3056956	3056964	3056962	0.5238095238095238	213		1.0	0.00017789561894626608
chr	+	1757422	1757447	1757433	0.5135964912280703	214		2.8997856777384343e-08	1.0
chr	+	3943543	3943556	3943548	0.4814807625948931	215	2.4021753034498e-13	8.199325865283275e-06	1.3961112150041697e-05
chr	+	3982701	3982705	3982702	0.4803679025377139	216	1.4872602539314653e-06	2.613052867554984e-08	6.463207321560466e-07
chr	-	3442549	3442561	3442554	0.47441266446879915	217	8.007374599782817e-07	5.83757836276391e-11	0.0029937443982241663
chr	+	4178359	4178367	4178363	0.4666666666666666	218	1.0	0.00011938731411995249	6.980461316037707e-05
chr	+	4209879	4209895	4209887	0.4526839075711256	219	2.706930141673295e-06	0.00015271736630414142	6.463207321560466e-07
chr	+	781013	781027	781017	0.44618149146451036	220	0.0033366983342081103	9.253761858443124e-06	3.3435272826126216e-06
chr	-	3439894	3439911	3439898	0.43636363636363634	221			
chr	+	4035523	4035542	4035535	0.41812240047534166	222	1.5479487442140944e-08	0.8132846152367801	0.0021320063547625007
chr	-	3443619	3443630	3443623	0.4155131044665928	223	0.0005916802385601506	8.541319273426893e-06	0.002264843585938241
chr	-	3270502	3270529	3270512	0.4007585196843509	224	5.239213719971388e-12	0.022752263960477127	0.006760383557993698
chr	+	4425115	4425140	4425119	0.39913502844537324	225	0.011939592466847462	1.346711997778333e-05	0.7662214735040234
chr	-	2817742	2817752	2817745	0.3917748917748918	226			
chr	+	4037521	4037537	4037535	0.38888888888888884	227	1.5138927483933945e-08	0.18519010278286815	1.0
chr	+	4037524	4037533	4037525	0.3881172839506173	228	1.5138927483933945e-08	1.0	1.0
chr	-	3471336	3471348	3471342	0.3834558823529412	229	0.006193286106657694	4.378035994307053e-06	1.0
chr	-	3450358	3450375	3450367	0.38095238095238093	230	0.0011452343936734146	0.021421672080952817	0.114865224349721
chr	+	4177209	4177216	4177209	0.37948717948717947	231	1.0		
chr	-	3451399	3451425	3451405	0.3743476337903582	232	0.18519010278286815	0.033471406626463335	0.114865224349721
chr	-	1019661	1019675	1019667	0.37388926862611066	233	0.011939592466847462	1.0	
chr	+	4176196	4176226	4176213	0.37222222222222223	234		0.011939592466847462	
chr	+	4179771	4179786	4179777	0.371978021978022	235	0.3722981488517911	0.1814985003751248	0.00014712906200840784
chr	-	2731133	2731137	2731134	0.3660130718954248	236	0.00042295031598723704	1.0	0.08113422003474603
chr	+	4166651	4166666	4166653	0.3659922512113783	237	0.0027038141402590463	1.244728310570915e-05	0.1518048071791297
chr	-	3308603	3308610	3308606	0.3617715617715618	238			1.0
chr	+	4179630	4179644	4179633	0.36065934065934063	239	1.0	1.7860327918938866e-09	
chr	-	3449427	3449447	3449432	0.3587819185645273	240	1.0		1.0
chr	+	3941799	3941819	3941802	0.3570428886884583	241	0.0018739472656560934	0.037630662521485746	0.004962050655239923
chr	+	1151637	1151651	1151643	0.35634920634920636	242	1.0	0.019177350331062822	0.0005916802385601506
chr	+	3986580	3986589	3986584	0.3501080265786148	243	1.0	0.00018219582800119727	0.03377904691369285
chr	+	1147595	1147606	1147600	0.34594356261022924	244		0.030219434496381037	1.0
chr	+	4177007	4177019	4177011	0.3412698412698412	245		1.0	
chr	-	3441662	3441699	3441665	0.3410902822667528	246	0.5381506675269375	1.0	1.0
chr	-	2731146	2731165	2731157	0.33857280617164903	247	0.0009077435113358557	0.008967323852099179	0.7027194246706475
chr	-	3322372	3322405	3322385	0.3355067920585162	248	1.0	0.5934794961149028	0.0011452343936734146
chr	+	223760	223778	223765	0.3342330184435447	249	0.8968903892224559	0.00034569544509046094	0.0036591135335018463
chr	+	4106384	4106391	4106389	0.3333333333333333	256	1.0	1.0	0.0
chr	-	4196180	4196188	4196180	0.3333333333333333	262	1.0	0.0	1.0
chr	-	1987842	1987849	1987842	0.3333333333333333	261	1.0	1.0	0.0
chr	-	1733703	1733710	1733703	0.3333333333333333	260	1.0	0.0	1.0
chr	-	1018968	1018975	1018968	0.3333333333333333	259	1.0	1.0	0.0
chr	-	1015891	1015899	1015891	0.3333333333333333	258	1.0	0.0	1.0
chr	-	584627	584635	584627	0.3333333333333333	257	1.0	0.0	1.0
chr	+	3350693	3350700	3350698	0.3333333333333333	255	1.0	0.0	1.0
chr	+	2814874	2814881	2814879	0.3333333333333333	254	1.0	0.0005112699627645921	1.0
chr	+	2600991	2600999	2600997	0.3333333333333333	253	1.0	0.0	1.0
chr	+	1863813	1863820	1863818	0.3333333333333333	252	1.0	0.0	1.0
chr	+	781683	781691	781689	0.3333333333333333	251	1.0	7.681474588607901e-06	1.0
chr	+	456491	456497	456495	0.3333333333333333	250	0.0	1.0	1.0
chr	-	3473255	3473271	3473261	0.3327228327228327	263		0.25379848215484063	
chr	-	3452754	3452767	3452760	0.32956349206349206	264	1.0	1.0	
chr	+	4176014	4176027	4176019	0.3273809523809524	265	1.0	1.128973762267091e-11	0.25379848215484063
chr	+	225762	225771	225766	0.32323232323232326	266		1.0	
chr	+	962677	962689	962683	0.32275132275132273	267		1.0	
chr	+	4208136	4208158	4208140	0.3222460914190237	268	0.03399292551048043	0.005284724412014771	1.0
chr	-	3333101	3333132	3333108	0.3201754385964912	269		1.0	0.14338908633799416
chr	-	1799675	1799709	1799701	0.31690331304935765	270	0.1678284293840072	1.0	0.00207490849477248
chr	+	191489	191506	191499	0.3148148148148148	271	1.0	1.0	
chr	+	4035524	4035528	4035524	0.31221782093875117	272	0.6570728473043348	0.8132846152367801	0.0021320063547625007
chr	+	14141	14149	14143	0.3111111111111111	273	1.0	2.181724583351051e-05	1.0
chr	-	3428755	3428770	3428763	0.3091513212650853	274	0.0021465906291091323	0.0009856353534116197	0.07367484961395729
chr	+	3886768	3886776	3886771	0.3076923076923077	275	1.0	0.00017789561894626608	1.0
chr	+	4426093	4426102	4426098	0.3073015873015873	276			1.0
chr	+	1492170	1492178	1492176	0.3055555555555555	277	1.0	0.0005112699627645921	1.0
chr	-	2745417	2745435	2745422	0.3055555555555555	278			1.0
chr	-	3470917	3470944	3470920	0.3052503052503052	279	1.0	1.0	
chr	-	4606176	4606186	4606180	0.3003510716925351	280	1.0	0.22233919170691502	0.006811843584877577
chr	+	3966138	3966145	3966143	0.3	281	1.0	1.0	0.004294314103258293
chr	+	2044703	2044712	2044708	0.2992524716662648	282	1.0	1.0	1.0
chr	-	3440689	3440700	3440695	0.29924242424242425	283	1.0	0.25379848215484063	1.0
chr	-	3447984	3448033	3447990	0.29800809212573914	284	0.06913989060107158	1.0	1.0
chr	-	3811583	3811609	3811594	0.2966946778711485	285	0.5381506675269375	1.0	1.0
chr	-	3441571	3441591	3441575	0.2953560371517028	286	0.0008874099886765757	1.0	0.3722981488517911
chr	+	1147339	1147364	1147346	0.2919580419580419	287		0.14338908633799416	1.0
chr	-	3473392	3473410	3473398	0.2919478182636077	288	0.14338908633799416		1.0
chr	-	3444860	3444871	3444865	0.2912698412698413	289	1.0	0.4882833535060861	0.06913989060107158
chr	+	1147193	1147216	1147204	0.2901960784313726	290		1.0	0.5381506675269375
chr	-	3452126	3452169	3452147	0.28938933873144396	291	1.0	0.011736271950761167	
chr	-	3471155	3471166	3471160	0.2889610389610389	292	0.5934794961149028	1.0	0.273922945234495
chr	+	190249	190281	190268	0.28771929824561404	293		1.0	1.0
chr	+	3210986	3211005	3210992	0.2860670194003527	294	1.0	0.3627302578157257	1.0
chr	-	696936	696943	696939	0.2860306695011229	295	0.05931083218674959	0.2852595583205873	1.0
chr	-	3453285	3453309	3453290	0.28589148154365546	296	1.0	1.3855629231894831e-08	0.0010817293979932547
chr	+	781035	781049	781041	0.2858024691358025	297	1.0	0.38220796273860347	1.0
chr	-	2311983	2312000	2311990	0.2833333333333334	298	1.0	1.0	1.0
chr	+	4176342	4176355	4176348	0.2832722832722832	299	1.0	1.0	
chr	-	3449140	3449152	3449146	0.2828387393604785	300	1.0	0.08350574118625713	1.0
chr	+	2534341	2534349	2534346	0.28205128205128205	301	1.0	1.0	4.0026416889030515e-07
chr	+	228659	228674	228665	0.280890398038106	302	0.6895787188352591	1.0	1.0
chr	-	3378324	3378352	3378342	0.2803544494720966	303		0.25379848215484063	1.0
chr	-	3442423	3442456	3442436	0.28000663129973474	304	0.1678284293840072	0.016638432870219353	1.0
chr	-	3474304	3474318	3474310	0.2791666666666667	305	1.0	0.033471406626463335	
chr	-	3440997	3441022	3441005	0.27876068376068375	306	1.0	1.0	0.002718335498973813
chr	-	3440812	3440838	3440817	0.2785714285714285	307	1.0		1.0
chr	-	3452787	3452797	3452790	0.27847698957538775	308	1.0	1.0	0.005106093668135269
chr	-	3452594	3452632	3452610	0.2783980152401205	309	1.0	1.0	0.011736271950761167
chr	-	3322029	3322037	3322030	0.2777777777777778	310	1.0	1.0	2.6787642216148873e-06
chr	-	3378614	3378654	3378641	0.2766106442577031	311	1.0	1.0	0.18519010278286815
